Zip Code,Zip Code Type,Zip Code Name,County
63774,PO Box,Perkins,Scott
63775,Non-Unique,Perryville,Perry
63776,PO Box,McBride,Perry
63779,PO Box,Pocahontas,Cape Girardeau
63780,Non-Unique,Scott City,Scott
63781,Non-Unique,Sedgewickville,Bollinger
63782,Non-Unique,Sturdivant,Bollinger
63783,Non-Unique,Uniontown,Perry
63784,PO Box,Vanduser,Scott
63785,Non-Unique,Whitewater,Cape Girardeau
63787,Non-Unique,Zalma,Bollinger
63801,Non-Unique,Sikeston,Scott
63820,PO Box,Anniston,Mississippi
63821,Non-Unique,Arbyrd,Dunklin
63822,Non-Unique,Bernie,Stoddard
63823,Non-Unique,Bertrand,Mississippi
63824,PO Box,Blodgett,Scott
63825,Non-Unique,Bloomfield,Stoddard
63826,PO Box,Braggadocio,Pemiscot
63827,Non-Unique,Bragg City,Pemiscot
63828,PO Box,Canalou,New Madrid
63829,Non-Unique,Cardwell,Dunklin
63830,Non-Unique,Caruthersville,Pemiscot
63833,Non-Unique,Catron,New Madrid
63834,Non-Unique,Charleston,Mississippi
63837,Non-Unique,Clarkton,Dunklin
63839,PO Box,Cooter,Pemiscot
63840,PO Box,Deering,Pemiscot
63841,Non-Unique,Dexter,Stoddard
63845,Non-Unique,East Prairie,Mississippi
63846,Non-Unique,Essex,Stoddard
63847,PO Box,Gibson,Dunklin
63848,Non-Unique,Gideon,New Madrid
63849,Non-Unique,Gobler,Pemiscot
63850,PO Box,Grayridge,Stoddard
63851,Non-Unique,Hayti,Pemiscot
63852,Non-Unique,Holcomb,Dunklin
63853,PO Box,Holland,Pemiscot
63855,Non-Unique,Hornersville,Dunklin
63857,Non-Unique,Kennett,Dunklin
63860,PO Box,Kewanee,New Madrid
63862,Non-Unique,Lilbourn,New Madrid
63863,Non-Unique,Malden,Dunklin
63866,Non-Unique,Marston,New Madrid
63867,Non-Unique,Matthews,New Madrid
63868,Non-Unique,Morehouse,New Madrid
63869,Non-Unique,New Madrid,New Madrid
63870,Non-Unique,Parma,New Madrid
63873,Non-Unique,Portageville,New Madrid
63874,PO Box,Risco,New Madrid
63875,PO Box,Rives,Dunklin
63876,Non-Unique,Senath,Dunklin
63877,Non-Unique,Steele,Pemiscot
63878,PO Box,Tallapoosa,New Madrid
63879,Non-Unique,Wardell,Pemiscot
63880,PO Box,Whiteoak,Dunklin
63881,PO Box,Wolf Island,Mississippi
63882,PO Box,Wyatt,Mississippi
63901,Non-Unique,Poplar Bluff,Butler
63902,PO Box,Poplar Bluff,Butler
63931,Non-Unique,Briar,Ripley
63932,Non-Unique,Broseley,Butler
63933,Non-Unique,Campbell,Dunklin
63934,Non-Unique,Clubb,Wayne
63935,Non-Unique,Doniphan,Ripley
63936,Non-Unique,Dudley,Stoddard
63937,Non-Unique,Ellsinore,Carter
63938,PO Box,Fagus,Butler
63939,Non-Unique,Fairdealing,Ripley
63940,Non-Unique,Fisk,Butler
63941,Non-Unique,Fremont,Carter
63942,Non-Unique,Gatewood,Ripley
63943,Non-Unique,Grandin,Carter
63944,Non-Unique,Greenville,Wayne
63945,Non-Unique,Harviell,Butler
63950,Non-Unique,Lodi,Wayne
