County,State,Date,Total Labor,Employed,Unemployed,Rate
Linn County,KS,Aug-19,4474,4212,262,5.9
Logan County,KS,Aug-19,1517,1480,37,2.4
Lyon County,KS,Aug-19,16470,15890,580,3.5
McPherson County,KS,Aug-19,17342,16907,435,2.5
Marion County,KS,Aug-19,5865,5680,185,3.2
Marshall County,KS,Aug-19,5540,5386,154,2.8
Meade County,KS,Aug-19,2188,2132,56,2.6
Miami County,KS,Aug-19,17530,16959,571,3.3
Mitchell County,KS,Aug-19,3379,3292,87,2.6
Montgomery County,KS,Aug-19,14613,13980,633,4.3
Morris County,KS,Aug-19,2942,2856,86,2.9
Morton County,KS,Aug-19,1117,1079,38,3.4
Nemaha County,KS,Aug-19,5375,5207,168,3.1
Neosho County,KS,Aug-19,6167,5856,311,5
Ness County,KS,Aug-19,1378,1340,38,2.8
Norton County,KS,Aug-19,2715,2645,70,2.6
Osage County,KS,Aug-19,8041,7753,288,3.6
Osborne County,KS,Aug-19,2042,1998,44,2.2
Ottawa County,KS,Aug-19,3015,2926,89,3
Pawnee County,KS,Aug-19,2970,2879,91,3.1
Phillips County,KS,Aug-19,2549,2476,73,2.9
Pottawatomie County,KS,Aug-19,12103,11745,358,3
